name,month,day,tas_max
Louisiana,April,16,291.8337
Louisiana,August,16,302.8416
Louisiana,December,16,284.93747
Louisiana,February,15,284.3259
Louisiana,January,16,283.4208
Louisiana,July,16,304.71915
Louisiana,June,16,298.70984
Louisiana,March,16,290.42422
Louisiana,May,16,295.6688
Louisiana,November,16,289.6732
Louisiana,October,16,291.7946
Louisiana,September,16,298.68927
Pennsylvania,April,16,279.9635
Pennsylvania,August,16,294.57495
Pennsylvania,December,16,270.60672
Pennsylvania,February,15,270.182
Pennsylvania,January,16,270.03864
Pennsylvania,July,16,293.98
Pennsylvania,June,16,290.6082
Pennsylvania,March,16,276.15298
Pennsylvania,May,16,284.95102
Pennsylvania,November,16,279.09644
Pennsylvania,October,16,282.11383
Pennsylvania,September,16,289.34946
Texas,April,16,295.4754
Texas,August,16,304.8217
Texas,December,16,288.5276
Texas,February,15,285.66135
Texas,January,16,284.60092
Texas,July,16,307.27097
Texas,June,16,301.96783
Texas,March,16,291.88556
Texas,May,16,299.9066
Texas,November,16,294.13348
Texas,October,16,293.97656
Texas,September,16,302.66788
