name,month,day,pr_sum,pr_mean,pr_max
Connecticut,April,16,14.377271,3.5943177,3.7243311
Connecticut,August,16,6.923682,1.7309206,1.7357484
Connecticut,December,16,33.656723,8.414181,8.524106
Connecticut,February,15,12.597116,3.149279,3.2496822
Connecticut,January,16,13.520092,3.380023,4.072844
Connecticut,July,16,23.37017,5.8425426,6.119058
Connecticut,June,16,13.24555,3.3113875,3.3753693
Connecticut,March,16,8.717455,2.1793637,2.236315
Connecticut,May,16,11.760185,2.9400463,3.2283125
Connecticut,November,16,37.40592,9.35148,10.049341
Connecticut,October,16,16.625034,4.1562586,4.557304
Connecticut,September,16,7.525382,1.8813455,2.0931003
Maryland,April,16,11.944898,1.9908162,2.212604
Maryland,August,16,5.6862288,0.9477048,1.2245446
Maryland,December,16,40.919155,6.819859,7.764816
Maryland,February,15,20.12421,3.3540351,3.9855547
Maryland,January,16,22.934362,3.8223937,4.649572
Maryland,July,16,28.18679,4.6977983,5.1850414
Maryland,June,16,19.949099,3.3248498,3.6454687
Maryland,March,16,11.194059,1.8656765,2.193139
Maryland,May,16,28.887978,4.814663,5.5190306
Maryland,November,16,35.92319,5.9871984,7.283814
Maryland,October,16,30.551682,5.091947,5.538963
Maryland,September,16,18.991077,3.1651795,3.890787
New Jersey,April,16,4.3276515,2.1638258,2.1638258
New Jersey,August,16,2.4232707,1.2116354,1.2116354
New Jersey,December,16,17.736765,8.868382,8.868382
New Jersey,February,15,6.4513426,3.2256713,3.2256713
New Jersey,January,16,7.3699183,3.6849592,3.6849592
New Jersey,July,16,11.218961,5.6094804,5.6094804
New Jersey,June,16,8.41824,4.20912,4.20912
New Jersey,March,16,3.6634045,1.8317022,1.8317022
New Jersey,May,16,5.38101,2.690505,2.690505
New Jersey,November,16,15.642165,7.8210826,7.8210826
New Jersey,October,16,9.145186,4.572593,4.572593
New Jersey,September,16,4.461933,2.2309666,2.2309666
New York,April,16,115.37472,4.80728,6.254579
New York,August,16,110.82181,4.617575,6.424099
New York,December,16,119.71867,4.988278,7.864012
New York,February,15,66.12779,2.7553246,3.0941274
New York,January,16,37.46361,1.5609838,2.2109745
New York,July,16,99.22088,4.1342034,6.0651226
New York,June,16,94.08193,3.9200804,6.7083344
New York,March,16,60.552616,2.5230258,3.3101988
New York,May,16,89.01236,3.7088482,4.305254
New York,November,16,128.87556,5.3698153,7.538607
New York,October,16,91.21454,3.8006058,4.8446994
New York,September,16,65.56521,2.7318838,4.073195
Pennsylvania,April,16,38.322823,2.3951764,3.3166645
Pennsylvania,August,16,37.38376,2.336485,3.5030818
Pennsylvania,December,16,100.08706,6.255441,8.823562
Pennsylvania,February,15,42.361324,2.6475828,2.9902103
Pennsylvania,January,16,40.924564,2.5577853,3.4285653
Pennsylvania,July,16,103.26892,6.4543076,6.882019
Pennsylvania,June,16,66.295,4.1434374,5.246429
Pennsylvania,March,16,35.06632,2.191645,2.806322
Pennsylvania,May,16,65.27483,4.079677,4.7092104
Pennsylvania,November,16,78.28067,4.892542,6.803448
Pennsylvania,October,16,63.259678,3.9537299,4.559015
Pennsylvania,September,16,39.971016,2.4981885,3.322785
