name,month,day,tas_max
Anhui,April,16,284.82214
Anhui,August,16,299.4544
Anhui,December,16,277.3813
Anhui,February,15,275.93506
Anhui,January,16,272.4338
Anhui,July,16,300.47678
Anhui,June,16,297.9428
Anhui,March,16,280.80023
Anhui,May,16,290.5127
Anhui,November,16,285.2441
Anhui,October,16,290.11386
Anhui,September,16,292.9052
Hubei,April,16,285.7019
Hubei,August,16,299.37894
Hubei,December,16,277.28302
Hubei,February,15,275.9181
Hubei,January,16,273.13394
Hubei,July,16,300.96927
Hubei,June,16,297.86743
Hubei,March,16,282.31693
Hubei,May,16,289.82214
Hubei,November,16,283.8319
Hubei,October,16,289.6805
Hubei,September,16,293.60306
Hunan,April,16,287.5192
Hunan,August,16,299.27258
Hunan,December,16,278.23114
Hunan,February,15,278.27985
Hunan,January,16,274.2917
Hunan,July,16,300.6844
Hunan,June,16,297.48074
Hunan,March,16,285.22534
Hunan,May,16,293.6725
Hunan,November,16,285.24518
Hunan,October,16,290.72833
Hunan,September,16,293.59656
Jiangsu,April,16,285.48044
Jiangsu,August,16,299.14883
Jiangsu,December,16,278.02176
Jiangsu,February,15,275.55856
Jiangsu,January,16,272.6115
Jiangsu,July,16,299.93222
Jiangsu,June,16,297.80356
Jiangsu,March,16,280.48
Jiangsu,May,16,291.8321
Jiangsu,November,16,286.0586
Jiangsu,October,16,290.2926
Jiangsu,September,16,293.3612
