,name,month,pr,pr,pr
,,,sum,mean,max
0,Anhui,April,135.40808,6.154913,10.590417
1,Anhui,August,30.303661,1.3774391,3.893137
2,Anhui,December,27.389288,1.2449676,1.4851135
3,Anhui,February,35.594948,1.6179522,2.555848
4,Anhui,January,31.543957,1.4338162,1.9290104
5,Anhui,July,128.63327,5.8469667,7.422501
6,Anhui,June,92.40391,4.2001777,5.588622
7,Anhui,March,76.79275,3.4905794,4.0340724
8,Anhui,May,87.65188,3.9841764,6.753991
9,Anhui,November,42.20789,1.9185405,2.5456321
10,Anhui,October,18.226805,0.82849115,1.6076202
11,Anhui,September,59.13925,2.6881478,6.440615
12,Beijing,April,3.0115008,1.5057504,1.5057504
13,Beijing,August,12.943146,6.471573,6.471573
14,Beijing,December,0.09503667,0.047518335,0.047518335
15,Beijing,February,0.35533556,0.17766778,0.17766778
16,Beijing,January,0.005505054,0.002752527,0.002752527
17,Beijing,July,10.137951,5.0689754,5.0689754
18,Beijing,June,9.715088,4.857544,4.857544
19,Beijing,March,0.8578511,0.42892554,0.42892554
20,Beijing,May,3.0046985,1.5023493,1.5023493
21,Beijing,November,1.0458286,0.5229143,0.5229143
22,Beijing,October,1.1456563,0.5728282,0.5728282
23,Beijing,September,5.024304,2.512152,2.512152
24,Chongqing,April,52.942272,5.294227,6.554024
25,Chongqing,August,53.904034,5.3904033,8.122566
26,Chongqing,December,6.258953,0.6258953,0.74958
27,Chongqing,February,17.27758,1.727758,2.3542037
28,Chongqing,January,11.218157,1.1218157,1.4085943
29,Chongqing,July,53.08644,5.3086443,7.0284314
30,Chongqing,June,44.947193,4.4947195,5.0738115
31,Chongqing,March,27.914434,2.7914433,3.3174572
32,Chongqing,May,57.51715,5.751715,6.4962564
33,Chongqing,November,21.042599,2.10426,2.6613984
34,Chongqing,October,30.461458,3.046146,3.8873327
35,Chongqing,September,92.50208,9.250208,10.968816
36,Fujian,April,133.65065,6.6825323,8.323316
37,Fujian,August,169.59042,8.479521,9.836595
38,Fujian,December,17.085016,0.8542508,1.1407065
39,Fujian,February,45.722958,2.2861478,3.8657506
40,Fujian,January,10.049785,0.5024892,0.83606404
41,Fujian,July,211.7562,10.58781,13.659827
42,Fujian,June,224.29446,11.214724,13.400322
43,Fujian,March,53.41125,2.6705625,3.2820334
44,Fujian,May,170.73866,8.536933,11.803002
45,Fujian,November,35.674744,1.7837372,2.568725
46,Fujian,October,10.991769,0.54958844,0.85213906
47,Fujian,September,47.24946,2.362473,4.226405
48,Gansu,April,96.17228,1.4571557,3.5232894
49,Gansu,August,289.89667,4.3923736,10.563325
50,Gansu,December,8.125096,0.12310752,0.5971805
51,Gansu,February,23.086882,0.34980124,1.3364663
52,Gansu,January,8.055701,0.12205608,0.45272556
53,Gansu,July,150.9339,2.2868772,5.440553
54,Gansu,June,135.66832,2.0555806,6.039605
55,Gansu,March,71.33782,1.0808761,3.5011702
56,Gansu,May,105.708435,1.601643,4.8406296
57,Gansu,November,62.177895,0.9420893,2.564948
