name,month,day,pr_sum,pr_mean,pr_max
Alabama,April,16,171.67001,6.6026926,10.007304
Alabama,August,16,97.30774,3.7426054,6.9401956
Alabama,December,16,170.65181,6.563531,8.155828
Alabama,February,15,119.43293,4.593574,5.904799
Alabama,January,16,108.448395,4.171092,5.041939
Alabama,July,16,97.798645,3.7614863,5.2519956
Alabama,June,16,72.2409,2.778496,3.8678718
Alabama,March,16,175.3807,6.745412,7.57999
Alabama,May,16,91.20432,3.5078585,4.2625847
Alabama,November,16,187.49707,7.211426,10.755194
Alabama,October,16,70.11539,2.6967456,5.618432
Alabama,September,16,81.49037,3.1342452,6.854512
Florida,April,16,81.694855,3.1421099,4.754548
Florida,August,16,99.63925,3.832279,6.520657
Florida,December,16,89.65483,3.4482627,5.0637665
Florida,February,15,56.184948,2.1609595,3.6008637
Florida,January,16,78.02704,3.00104,4.679253
Florida,July,16,56.299915,2.1653814,3.571726
Florida,June,16,62.931232,2.420432,3.851178
Florida,March,16,65.166565,2.5064063,4.038883
Florida,May,16,98.59034,3.7919362,4.875214
Florida,November,16,56.298054,2.1653097,3.0166826
Florida,October,16,46.172474,1.7758644,3.7809696
Florida,September,16,60.21844,2.316094,4.2569666
Georgia,April,16,118.43014,5.921507,9.702046
Georgia,August,16,60.778,3.0389,3.8033996
Georgia,December,16,97.55441,4.877721,6.336182
Georgia,February,15,77.666855,3.8833427,5.5030246
Georgia,January,16,80.93,4.0465,4.5883503
Georgia,July,16,75.415565,3.7707782,4.8828387
Georgia,June,16,55.95481,2.7977405,3.595441
Georgia,March,16,99.66742,4.983371,6.6586933
Georgia,May,16,67.09947,3.3549736,4.4698596
Georgia,November,16,99.24543,4.9622717,8.785058
Georgia,October,16,53.698067,2.6849034,4.4188156
Georgia,September,16,24.824415,1.2412207,2.2096589
Louisiana,April,16,62.103905,3.881494,4.8706565
Louisiana,August,16,45.035587,2.8147242,5.131013
Louisiana,December,16,111.45234,6.965771,7.913169
Louisiana,February,15,59.895763,3.7434852,5.3466506
Louisiana,January,16,55.968174,3.4980109,4.9522834
Louisiana,July,16,25.399061,1.5874413,2.2056222
Louisiana,June,16,38.04154,2.3775961,2.8512053
Louisiana,March,16,87.29031,5.4556446,6.7024612
Louisiana,May,16,80.569984,5.035624,7.5609136
Louisiana,November,16,71.44431,4.4652696,5.1475573
Louisiana,October,16,62.659668,3.9162292,5.4507737
Louisiana,September,16,50.933704,3.1833565,6.605307
Maryland,April,16,15.969683,2.6616137,3.0538852
Maryland,August,16,37.346397,6.2243996,6.627173
Maryland,December,16,24.784948,4.1308246,4.430207
Maryland,February,15,22.443125,3.7405207,3.93229
Maryland,January,16,25.26705,4.211175,4.5019116
Maryland,July,16,44.860344,7.476724,9.241803
Maryland,June,16,28.194683,4.699114,5.024979
Maryland,March,16,18.711761,3.1186268,3.6528332
Maryland,May,16,22.671545,3.778591,4.7525296
Maryland,November,16,42.55932,7.0932198,8.133852
Maryland,October,16,28.354206,4.725701,6.191442
Maryland,September,16,5.196584,0.8660974,1.3125153
Mississippi,April,16,82.20134,5.1375837,5.8718357
Mississippi,August,16,46.296936,2.8935585,4.619443
Mississippi,December,16,120.68902,7.5430636,8.181016
Mississippi,February,15,64.35001,4.021876,4.746645
Mississippi,January,16,54.76903,3.4230645,4.918663
Mississippi,July,16,43.22228,2.7013924,4.756992
Mississippi,June,16,46.463676,2.9039798,3.476602
Mississippi,March,16,107.44295,6.715184,7.1471443
Mississippi,May,16,63.07644,3.9422774,4.6521134
Mississippi,November,16,110.31531,6.8947067,9.12953
Mississippi,October,16,73.25037,4.578148,7.903628
Mississippi,September,16,62.035244,3.8772027,5.001995
North Carolina,April,16,144.9398,6.588173,9.56471
North Carolina,August,16,77.81485,3.5370386,4.565684
North Carolina,December,16,124.36307,5.652867,6.9397798
North Carolina,February,15,111.76803,5.0803647,6.379948
North Carolina,January,16,80.10806,3.6412756,4.2100115
North Carolina,July,16,102.55828,4.66174,5.562052
North Carolina,June,16,104.67262,4.7578464,5.7086344
North Carolina,March,16,116.32304,5.2874107,6.067777
North Carolina,May,16,49.45705,2.2480478,3.0131338
North Carolina,November,16,148.77637,6.7625623,7.815184
North Carolina,October,16,141.42146,6.4282484,9.537064
North Carolina,September,16,110.0284,5.001291,7.4404035
Pennsylvania,April,16,52.695076,3.2934422,3.5857863
Pennsylvania,August,16,66.13883,4.133677,5.931448
Pennsylvania,December,16,62.08005,3.8800032,4.7569904
Pennsylvania,February,15,61.00033,3.8125207,4.1564584
Pennsylvania,January,16,63.632465,3.977029,4.779908
Pennsylvania,July,16,74.161125,4.6350703,6.946096
Pennsylvania,June,16,98.67848,6.167405,6.75581
Pennsylvania,March,16,39.397327,2.462333,2.934278
Pennsylvania,May,16,75.40256,4.71266,5.7320127
Pennsylvania,November,16,91.24762,5.702976,6.2519712
Pennsylvania,October,16,79.91564,4.9947276,8.769731
Pennsylvania,September,16,10.124212,0.63276327,1.0433979
Texas,April,16,163.57101,1.6036373,3.0596054
Texas,August,16,47.101467,0.4617791,2.8655825
Texas,December,16,334.5448,3.279851,6.487363
Texas,February,15,241.15555,2.36427,5.337665
Texas,January,16,122.926704,1.2051637,2.8373652
Texas,July,16,160.02066,1.56883,4.0677657
Texas,June,16,162.74309,1.5955205,3.2925456
Texas,March,16,274.28003,2.68902,5.678835
Texas,May,16,288.95197,2.8328624,8.644345
Texas,November,16,152.85796,1.4986074,4.267315
Texas,October,16,348.9019,3.4206066,7.57192
Texas,September,16,359.5585,3.5250833,6.5770626
Virginia,April,16,26.460663,3.3075829,4.0302105
Virginia,August,16,38.720993,4.840124,5.7000074
Virginia,December,16,37.088394,4.6360493,5.1018014
Virginia,February,15,32.1036,4.01295,4.4246225
Virginia,January,16,31.470568,3.933821,4.219553
Virginia,July,16,45.513897,5.689237,7.12267
Virginia,June,16,43.917076,5.4896345,6.5194874
Virginia,March,16,33.544243,4.1930304,4.501513
Virginia,May,16,25.690874,3.2113593,3.8296936
Virginia,November,16,65.00468,8.125585,8.743028
Virginia,October,16,38.963642,4.8704553,5.6926613
Virginia,September,16,25.690594,3.2113242,4.241576
