name,month,day,property_max
Louisiana,April,16,1.817115e-05
Louisiana,August,16,2.7247266e-05
Louisiana,December,16,5.3069547e-05
Louisiana,February,15,8.364973e-05
Louisiana,January,16,6.7730034e-05
Louisiana,July,16,4.39005e-05
Louisiana,June,16,9.617905e-05
Louisiana,March,16,3.653532e-05
Louisiana,May,16,6.620981e-05
Louisiana,November,16,7.4531476e-05
Louisiana,October,16,4.2957465e-05
Louisiana,September,16,4.0152754e-05
Pennsylvania,April,16,4.7559424e-05
Pennsylvania,August,16,4.0181225e-05
Pennsylvania,December,16,6.122318e-05
Pennsylvania,February,15,6.0747043e-05
Pennsylvania,January,16,4.7243342e-05
Pennsylvania,July,16,5.5908782e-05
Pennsylvania,June,16,6.8245165e-05
Pennsylvania,March,16,3.4241446e-05
Pennsylvania,May,16,5.073646e-05
Pennsylvania,November,16,4.5054534e-05
Pennsylvania,October,16,7.271323e-05
Pennsylvania,September,16,3.1374584e-05
Texas,April,16,2.6054975e-05
Texas,August,16,4.939143e-05
Texas,December,16,4.338437e-05
Texas,February,15,5.969152e-05
Texas,January,16,6.5564236e-05
Texas,July,16,3.1629363e-05
Texas,June,16,3.129423e-05
Texas,March,16,3.5985195e-05
Texas,May,16,9.371095e-05
Texas,November,16,3.727943e-05
Texas,October,16,3.2547883e-05
Texas,September,16,0.000105522995
