name,month,day,pr_sum,pr_mean,pr_max
Distrito Capital,April,16,0.6638914,0.3319457,0.3319457
Distrito Capital,August,16,7.2653995,3.6326997,3.6326997
Distrito Capital,December,16,0.66684353,0.33342177,0.33342177
Distrito Capital,February,15,0.68253744,0.34126872,0.34126872
Distrito Capital,January,16,1.0479306,0.5239653,0.5239653
Distrito Capital,July,16,11.041302,5.520651,5.520651
Distrito Capital,June,16,6.396897,3.1984484,3.1984484
Distrito Capital,March,16,0.570211,0.2851055,0.2851055
Distrito Capital,May,16,0.5449528,0.2724764,0.2724764
Distrito Capital,November,16,4.2421765,2.1210883,2.1210883
Distrito Capital,October,16,2.5889072,1.2944536,1.2944536
Distrito Capital,September,16,3.9252107,1.9626054,1.9626054
